"date","Wholesale and Retail Trade","Manufacturing","Leisure and hospitality","Business services","Construction","Education and Health","Government","Finance","Self-employed","Other","Transportation and Utilities","Information","Agriculture","Mining and Extraction"
"2000-01-01","1000","734","782","655","745","353","430","228","239","274","236","125","154","19"
"2000-06-01","837","621","833","545","389","452","603","216","188","225","183","102","109","13"
"2000-11-01","701","672","694","547","482","351","384","184","273","217","129","117","192","11"
"2001-04-01","820","855","744","655","596","341","369","232","216","220","232","148","140","24"
"2001-09-01","936","996","900","810","489","455","438","268","256","225","214","219","101","23"
"2002-02-01","1264","1296","973","973","1060","590","508","318","250","339","331","279","187","35"
"2002-07-01","1132","1185","999","1075","594","671","645","345","249","356","270","264","114","19"
"2002-12-01","1150","1188","922","1038","941","558","446","322","327","241","243","255","120","45"
"2003-05-01","1247","1150","955","1105","715","618","478","320","271","339","260","251","133","40"
"2003-10-01","1189","1041","933","1014","651","639","500","303","338","378","260","182","136","31"
"2004-03-01","1386","1083","1039","999","1011","584","530","343","260","366","284","216","153","22"
"2004-08-01","1079","840","1010","845","563","647","676","312","324","341","236","191","103","10"
"2005-01-01","1302","889","993","958","1079","613","555","252","346","290","276","168","153","29"
"2005-06-01","1197","743","950","743","559","667","681","307","268","291","247","160","76","25"
"2005-11-01","1013","823","966","711","564","677","494","268","319","300","199","172","118","18"
"2006-04-01","972","745","882","644","674","558","414","293","334","266","272","132","81","17"
"2006-09-01","1008","632","810","736","586","576","396","235","299","310","183","170","78","14"
"2007-02-01","1045","774","879","825","1086","489","405","295","300","257","251","139","127","33"
"2007-07-01","1089","621","920","743","617","665","704","307","324","243","309","112","40","33"
"2007-12-01","1009","772","961","803","968","521","451","315","326","235","210","125","96","24"
"2008-05-01","1049","879","1074","829","809","619","461","361","366","275","269","170","94","28"
"2008-10-01","1313","1007","1126","1052","1078","797","552","434","396","334","316","168","97","15"
"2009-03-01","1852","1912","1484","1597","1979","931","598","639","625","377","558","252","241","105"
"2009-08-01","1794","1866","1636","1560","1542","1239","1118","566","569","528","547","358","195","93"
"2010-01-01","2154","1918","1804","1614","2194","1175","948","623","730","609","657","313","318","68"
